ContactID,six_month_retained
954,1
955,0
964,0
966,0
973,0
974,0
975,0
976,0
977,1
978,0
979,0
981,1
982,1
983,0
984,1
985,1
987,1
988,0
989,0
990,0
991,1
992,0
994,1
996,1
998,1
1001,0
1004,0
1012,1
1014,1
1015,0
1017,0
1018,1
1022,1
1025,1
1027,1
1028,1
1029,0
1033,1
1040,1
1042,0
1043,1
1045,0
1046,0
1047,1
1048,1
1049,0
1050,1
1051,0
1052,1
1053,1
1054,1
1055,1
1057,1
1058,0
1059,1
1060,1
1061,1
1062,0
1063,0
1064,0
1065,0
1066,1
1067,1
1069,1
1074,1
1077,0
1081,0
1082,1
1095,1
1104,0
1105,1
1106,1
1107,1
1108,1
1109,1
1110,1
1112,1
1114,1
1115,0
1116,1
1123,1
1124,1
1131,1
1143,1
1147,1
1150,0
1152,1
1153,1
1154,0
1155,1
1156,1
1157,1
1158,0
1159,0
1160,1
1161,1
1162,1
1163,0
1168,1
1170,1
1172,1
1195,1
1197,0
1213,1
1223,1
1225,1
1226,1
1227,1
1238,1
1256,1
1267,1
1279,1
1284,1
1285,1
1292,0
1296,1
1297,1
1298,1
1302,1
1303,1
1311,0
1314,0
1318,1
1323,0
1325,0
1329,0
1330,0
1333,0
1335,0
1342,1
1343,1
1344,1
1345,1
1355,0
1359,0
1361,1
1367,0
1368,1
1372,1
1374,0
1375,1
1376,1
1379,0
1380,1
1381,1
1383,1
1384,1
1389,0
1390,1
1394,1
1395,0
1396,1
1398,1
1403,1
1416,1
1418,1
1419,1
1421,1
1422,1
1423,1
1424,1
1425,1
1426,1
1427,1
1428,1
1429,1
1437,1
1443,1
1459,1
1460,0
1461,1
1471,1
1476,1
1479,0
1483,1
1485,1
1488,1
1503,1
1517,0
1518,1
1521,1
1526,1
1527,1
1559,0
1566,1
1572,1
1580,0
1619,1
1620,0
1622,1
1623,1
1624,1
1625,1
1626,1
1628,1
1629,1
1630,1
1632,1
1633,1
1634,1
1636,0
1637,1
1638,1
1639,1
1641,1
1642,1
1643,1
1644,1
1648,1
1649,1
1650,0
1651,1
1655,0
1656,1
1658,1
1659,1
1660,1
1661,1
1662,1
1665,1
1666,1
1668,1
